City,State,Date_started,Date_ended,Size,Lat,Long,Local_coverage_link,Notes
Yorba Linda,CA,,,,33.640302,-117.769442,https://www.latimes.com/socal/daily-pilot/entertainment/story/2020-06-03/a-rare-progressive-protest-in-the-middle-of-conservative-yorba-linda,
Santa Rosa,CA,,,,38.450412,-122.783159,https://www.pressdemocrat.com/news/11009414-181/protests-coronavirus-rules-create-surreal?sba=AAS&artslide=14,unclear
Healdsburg,CA,,,,38.61047,-122.86916,https://www.pressdemocrat.com/news/11012186-181/healdsburg-protest-of-police-brutality?ref=mosthome,
Yreka,CA,,,,41.73542,-122.63447,https://kobi5.com/news/local-news/demonstrators-honor-george-floyd-breonna-taylor-in-yreka-130122/,
Boulder,CO,,,minor,40.049468,-105.201421,https://denver.cbslocal.com/video/4571126-sit-in-protest-in-boulder-remains-calm-peaceful/,
Breckenridge,CO,,,,39.475323,-106.022472,https://www.summitdaily.com/news/crowd-gathers-in-breckenridge-to-peacefully-protest-racial-injustice/,
Colorado Springs,CO,,,major,38.828893,-104.809929,https://www.kktv.com/content/news/Protesters-take-to-downtown-Colorado-Springs-570898891.html,
Denver,CO,,,major,39.760189,-104.996553,https://www.9news.com/article/news/local/local-politics/denver-protests-george-floyd-day-4/73-205de2c5-6732-46e9-8621-160dbbef17e2,
Durango,CO,,,minor,37.318364,-107.880367,https://durangoherald.com/articles/326451-hundreds-gather-in-durango-to-protest-police-violence,
Fort Collins,CO,,,minor,40.594597,-105.127416,https://www.coloradoan.com/picture-gallery/news/2020/06/02/fort-collins-george-floyd-demonstrator-numbers-grow-200/5315236002/,
Glenwood Springs,CO,,,,39.601448,-107.304314,https://www.postindependent.com/news/glenwood-springs-joins-in-growing-movement-seeking-justice-for-george-floyd/,small
Pueblo,CO,,,minor,38.293234,-104.536493,https://krdo.com/news/top-stories/2020/05/30/rally-in-pueblo-saturday-protests-police-violence/,small
Steamboat Springs,CO,,,,40.486391,-106.829354,https://www.steamboatpilot.com/news/my-heart-is-broken-steamboat-holds-peaceful-emotional-protest-in-response-to-death-of-george-floyd-with-photo-gallery-video/,small
Greeley,CO,,,,40.384991,-104.680631,https://www.greeleytribune.com/2020/06/05/blacklivesmatter-protests-reach-greeley/,
Castle Rock,CO,,,,39.374779,-104.849988,"https://castlerocknewspress.net/stories/protests-in-castle-rock-aim-to-spark-conversation-about-race-inequality,302544",small
Parker,CO,,,,39.489472,-104.844731,"https://parkerchronicle.net/stories/protesters-march-in-downtown-parker,302804",
Bridgeport,CT,,,minor,41.308873,-73.363661,https://www.wfsb.com/news/protests-held-in-bridgeport-following-death-of-george-floyd/article_b38625bc-a2b4-11ea-ac5d-3f1eac07e4ab.html,
Danbury,CT,,,,41.376242,-73.471416,https://www.newstimes.com/news/article/Route-updated-for-Danbury-protest-15310883.php,
Darien,CT,,,,41.075846,-73.480765,https://darienite.com/hundreds-march-in-darien-to-protest-death-of-george-floyd-57596,
Hartford,CT,,,minor,41.78007,-72.677099,https://www.courant.com/news/connecticut/hc-news-connecticut-police-protests-20200601-uk6v5ppvdjbsllic4lfgjigytm-story.html,
Mystic,CT,,,,41.35742,-71.95497,https://www.theday.com/photo-gallery/20200602/crowd-gathers-during-peaceful-protest-organized-by-rise-up-mystic-on-tuesday,
New Britain,CT,,,minor,41.666049,-72.778391,http://www.newbritainherald.com/NBH-New+Britain+News/372992/hundreds-of-protesters-march-in-walnut-hill-park-in-new-britain,
New Canaan,CT,,,,41.162209,-73.501267,https://newcanaanite.com/photos-thousands-march-in-new-canaan-in-protest-of-police-brutality-racism-3025993,
New Haven,CT,,,minor,41.365709,-72.927507,https://www.nhregister.com/news/article/New-Haven-protest-march-shuts-I-95-tensions-rise-15307164.php,
Norwich,CT,,,,41.52426,-72.07591,https://www.theday.com/local-news/20200602/hundreds-protest-in-norwich-mystic-on-tuesday,
Salisbury,CT,,,,42.00579,-73.399336,https://tricornernews.com/salisbury/protests-against-police-injustice-held-salisbury,
Stratford,CT,,,minor,41.207146,-73.130503,https://patch.com/connecticut/stratford/hundreds-stratford-protest-police-brutality-after-floyd-death,
Waterbury,CT,,,minor,41.365709,-72.927507,https://www.fox61.com/article/news/local/protesters-waterbury-block-i-84/520-d678625f-e303-4005-8a81-c2e1573e4886,
Westport,CT,,,,41.1415,-73.3579,https://www.thehour.com/news/slideshow/Photos-from-article-Westport-protests-police-202954.php,
Wilton,CT,,,,41.209695,-73.439165,https://www.newstimes.com/news/article/Teens-sit-on-Route-7-in-Wilton-in-George-Floyd-15312369.php,
Fairfield,CT,,,,41.175173,-73.282408,https://www.nbcconnecticut.com/news/unity-ride-protests-planned-in-ct-to-call-for-justice-after-death-of-george-floyd/2281029/,
Newington,CT,,,,41.685985,-72.729646,https://www.wfsb.com/news/hundreds-of-protesters-shut-down-streets-in-newington/article_795b7b48-a6cf-11ea-ade4-578eb2bea6c6.html,
West Hartford,CT,,,,41.763137,-72.727308,https://www.nbcconnecticut.com/news/unity-ride-protests-planned-in-ct-to-call-for-justice-after-death-of-george-floyd/2281029/,
Wethersfield,CT,,,,41.698899,-72.667887,https://www.nbcconnecticut.com/news/local/more-than-a-dozen-protests-for-george-floyd-planned-in-ct-today/2283276/,
Washington,DC,,,major,38.89511,-77.03637,https://www.usatoday.com/story/news/politics/2020/05/31/george-floyd-dc-protests-arrests-officers-injured/5300339002/,
Dover,DE,,,,39.156376,-75.49549,https://www.delawareonline.com/story/news/local/2020/06/01/dover-george-floyd-protests-city-officials-place-delaware-capital-under-curfew/5308808002/,
Wilmington,DE,,,,39.727113,-75.547844,https://www.delawareonline.com/story/news/2020/05/30/not-just-black-thing-anymore-wilmington-protesters-say-demanding-justice-george-floyd/5286392002/,
Bronson,FL,,,,29.44774,-82.64233,https://www.wcjb.com/content/news/Protestors-take-to-the-streets-of-Bronson-571002841.html,
Daytona Beach,FL,,,minor,29.194,-81.047652,https://www.news-journalonline.com/news/20200531/hundreds-gather-in-port-orange-daytona-to-protest-death-of-george-floyd-in-minneapolis,
DeLand,FL,,,,29.05725,-81.225582,https://www.news-journalonline.com/news/20200602/peaceful-protest-comes-to-deland-following-death-of-george-floyd,
Fort Lauderdale,FL,,5/31/20,minor,26.121323,-80.127909,https://miami.cbslocal.com/2020/06/01/fort-lauderdale-quiet-after-rally-for-change-ends-in-unrest-vandalism-state-of-emergency/,
Fort Myers,FL,,,minor,26.621074,-81.878139,https://www.news-press.com/story/news/2020/05/31/scores-attend-fort-myers-rally-honor-george-floyd-slain-minneapolis-man/5300999002/,
Fort Pierce,FL,,,,27.412128,-80.534169,https://www.tcpalm.com/story/news/local/2020/05/31/peaceful-rallies-pop-up-treasure-coast-hundreds-demonstrate-response-george-floyd-death-minneapolis/5300565002/,
Gainesville,FL,,,minor,29.648993,-82.324515,https://www.gainesville.com/news/20200601/gainesvillersquos-history-of-activism-planning-kept-demonstration-peaceful,
Gifford,FL,,,,27.641533,-80.402619,https://www.tcpalm.com/picture-gallery/news/local/indian-river-county/2020/05/31/gathering-gifford-brings-attention-death-george-floyd/5300986002/,
Jacksonville,FL,,,major,30.337538,-81.768622,https://www.jacksonville.com/news/20200601/jacksonville-tensions-ease-after-weekend-unrest,
Jensen Beach,FL,,,minor,27.236473,-80.237943,https://www.tcpalm.com/story/news/local/2020/06/01/treasure-coast-square-mall-magnet-protesters-monday-afternoon/5310560002/,small
Lakeland,FL,,,minor,28.035908,-81.899669,https://www.theledger.com/news/20200531/protesters-police-have-showdown-in-lakeland,
Marco Island,FL,,,,25.938768,-81.696751,https://www.naplesnews.com/story/news/local/2020/06/04/marco-island-police-arrests-two-wednesday-during-protest/3141330001/,small
Melbourne,FL,,,,28.079357,-80.623618,https://www.floridatoday.com/story/news/2020/06/01/melbourne-vigil-decries-ugliness-racism-george-floyds-death-cant-breathe/5299168002/,
Miami,FL,,,major,25.761681,-80.191788,https://www.miamiherald.com/site-services/profiles/article243135896.html,
Naples,FL,,,minor,26.142,-81.7948,https://www.naplesnews.com/story/news/2020/06/02/naples-march-against-police-brutality-draws-hundreds-fifth-avenue-south/5315295002/,
Nocatee,FL,,,,27.149245,-81.895327,https://www.staugustine.com/news/20200602/nocatee-demonstrators-protest-george-floyds-death,
Ocala,FL,,,,29.198907,-82.087425,https://www.ocala.com/news/20200531/demonstrators-gather-in-ocala,
Orlando,FL,,,,28.545179,-81.373291,https://www.orlandosentinel.com/news/orange-county/os-ne-orlando-george-floyd-justice-protest-20200603-2c7nb6ef7zgq3poxtpbcr3pxgy-story.html,
Pensacola,FL,,,,30.428781,-87.222516,https://www.pnj.com/story/news/2020/06/01/george-floyd-protests-supporters-bring-supplies-pensacola-protesters/5311113002/,
Port Orange,FL,,,minor,29.136974,-81.023957,https://www.news-journalonline.com/news/20200531/hundreds-gather-in-port-orange-daytona-to-protest-death-of-george-floyd-in-minneapolis,
Sarasota,FL,,,minor,27.335023,-82.537169,https://www.heraldtribune.com/news/20200601/hundreds-responded-to-teensrsquo-call-for-sarasota-black-lives-matter-march,
St. Augustine,FL,,,,29.918235,-81.367087,https://www.staugustine.com/news/20200601/protest-in-st-augustine-shuts-down-part-of-us-1-remains-peaceful,
St. Petersburg,FL,,,,27.775654,-82.64092,https://www.tampabay.com/news/2020/06/02/live-another-night-of-protests-take-off-across-tampa-bay/,
