id,cleanedRecordingTitle,originalRecordingTitle,contributors,cleanedEventTitle,originalEventTitle,date
20100929_ot_001mv_pl_ej_mt,Whiskey Before Breakfast,"Handycam 20100929194858 Live Performance @ ""Estrojam"" Session with women listed above. Song: Whiskey Before Breakfast, Traditional, Public Domain",Michele Turner | Lucy Allen | Amy Buckingham | Billie Jordan | Gaye Johnson | Nancy Hamilton | Abby Dunn | Joyce Breeden | Brooke Lauer | Sophie Case | Kathy Hallman,"Estrojam at Michele Turner's Home in Taylors, SC","9-29-10 (2) “ESTROJAM” @ Michele Turner's Home in Taylors, SC",2010-09-29
20100929_ot_002mv_pl_ej_mt,Needle Case,"Handycam 20100929195217 Live Performance @ ""Estrojam"" Session with women listed above. Song: Needle Case, Traditional, Public Domain",Michele Turner | Lucy Allen | Amy Buckingham | Billie Jordan | Gaye Johnson | Nancy Hamilton | Abby Dunn | Joyce Breeden | Brooke Lauer | Sophie Case | Kathy Hallman,"Estrojam at Michele Turner's Home in Taylors, SC","9-29-10 (2) “ESTROJAM” @ Michele Turner's Home in Taylors, SC",2010-09-29
20100929_ot_004mv_pl_mt,Liberty,"Handycam 20100929200154 Live Performance @ ""Estrojam"" Session with women listed above. Song: Liberty, Traditional, Public Domain",Michele Turner | Lucy Allen | Amy Buckingham | Billie Jordan | Gaye Johnson | Nancy Hamilton | Abby Dunn | Joyce Breeden | Brooke Lauer | Sophie Case | Kathy Hallman,"Estrojam at Michele Turner's Home in Taylors, SC","9-29-10 (2) “ESTROJAM” @ Michele Turner's Home in Taylors, SC",2010-09-29
20100929_ot_005mv_pl_mt,Don't This Road Look Rough And Rocky,"Handycam 20100929200525 Live Performance @ ""Estrojam"" Session with women listed above. Song: Don't This Road Look Rough And Rocky, Traditional, Public Domain",Michele Turner | Lucy Allen | Amy Buckingham | Billie Jordan | Gaye Johnson | Nancy Hamilton | Abby Dunn | Joyce Breeden | Brooke Lauer | Sophie Case | Kathy Hallman,"Estrojam at Michele Turner's Home in Taylors, SC","9-29-10 (2) “ESTROJAM” @ Michele Turner's Home in Taylors, SC",2010-09-29
20100929_ot_007mv_pl_mt,Martha Campbell,"Handycam 20100929201628 Live Performance @ ""Estrojam"" Session with women listed above. Song:Martha Campbell, Traditional, Public Domain",Martha Campbell | Michele Turner | Lucy Allen | Amy Buckingham | Billie Jordan | Gaye Johnson | Nancy Hamilton | Abby Dunn | Joyce Breeden | Brooke Lauer | Sophie Case | Kathy Hallman,"Estrojam at Michele Turner's Home in Taylors, SC","9-29-10 (2) “ESTROJAM” @ Michele Turner's Home in Taylors, SC",2010-09-29
20100929_ot_009mv_pl_mt,Green Icey Mountain,"Handycam 20100929202651 Live Performance @ ""Estrojam"" Session with women listed above. Song: Green Icey Mountain , Traditional, Public Domain",Michele Turner | Lucy Allen | Amy Buckingham | Billie Jordan | Gaye Johnson | Nancy Hamilton | Abby Dunn | Joyce Breeden | Brooke Lauer | Sophie Case | Kathy Hallman,"Estrojam at Michele Turner's Home in Taylors, SC","9-29-10 (2) “ESTROJAM” @ Michele Turner's Home in Taylors, SC",2010-09-29
20100929_ot_010mv_pl_mt,Midnight On The Water,"Handycam 20100929203227 Live Performance @ ""Estrojam"" Session with women listed above. Song: Midnight On The Water, Traditional, Public Domain",Michele Turner | Lucy Allen | Amy Buckingham | Billie Jordan | Gaye Johnson | Nancy Hamilton | Abby Dunn | Joyce Breeden | Brooke Lauer | Sophie Case | Kathy Hallman,"Estrojam at Michele Turner's Home in Taylors, SC","9-29-10 (2) “ESTROJAM” @ Michele Turner's Home in Taylors, SC",2010-09-29
20100929_ot_012mv_pl_mt,Lorena,"Handycam 20100929204929 Live Performance @ ""Estrojam"" Session with women listed above. Song: Lorena, Traditional, Public Domain",Michele Turner | Lucy Allen | Amy Buckingham | Billie Jordan | Gaye Johnson | Nancy Hamilton | Abby Dunn | Joyce Breeden | Brooke Lauer | Sophie Case | Kathy Hallman,"Estrojam at Michele Turner's Home in Taylors, SC","9-29-10 (2) “ESTROJAM” @ Michele Turner's Home in Taylors, SC",2010-09-29
20100929_ot_015mv_pl_mt,June Apple,"Handycam 20100929210733 Live Performance @ ""Estrojam"" Session with women listed above. Song: June Apple, Traditional, Public Domain",Michele Turner | Lucy Allen | Amy Buckingham | Billie Jordan | Gaye Johnson | Nancy Hamilton | Abby Dunn | Joyce Breeden | Brooke Lauer | Sophie Case | Kathy Hallman,"Estrojam at Michele Turner's Home in Taylors, SC","9-29-10 (2) “ESTROJAM” @ Michele Turner's Home in Taylors, SC",2010-09-29
20100929_ot_016mv_pl_mt,John Brown's Dream,"Handycam 20100929211337 Live Performance @ ""Estrojam"" Session with women listed above. Song: John Brown's Dream, Traditional, Public Domain",Michele Turner | Lucy Allen | Amy Buckingham | Billie Jordan | Gaye Johnson | Nancy Hamilton | Abby Dunn | Joyce Breeden | Brooke Lauer | Sophie Case | Kathy Hallman,"Estrojam at Michele Turner's Home in Taylors, SC","9-29-10 (2) “ESTROJAM” @ Michele Turner's Home in Taylors, SC",2010-09-29
20111211_ot_002sr_pl_sff_arg,The Highlander’s Farewell,Handycam 2011121103 ANNA ROBERTS-GEVALT on fiddle and ELIZABETH LaPRELLE -vocal at the Stattle Folk Festival: Scottish Traditional tune: The Highlander’s Farewell” PUBLIC DOMAIN,Anna Roberts-Gevalt | Elizabeth Laprelle,"Anna Roberts-Gevalt and Elizabeth Laprelle at the Seattle Folk Festival, Town Hall, Seattle, WA","12-11-2011 ANNA ROBERTS-GEVALT and ELIZABETH LaPRELLE at the Seattle Folk Festival, Town Hall, Seattle, WA (original files location: MacBU Drive 4, FCP, More Americana Women)",2011-12-11
